queries	accesses
0	0
100000	136
200000	264
300000	387
400000	521
500000	645
600000	805
700000	929
800000	1071
900000	1221
1000000	1335
1100000	1483
1200000	1629
1300000	1756
1400000	1894
1500000	2043
1600000	2170
1700000	2297
1800000	2425
1900000	2571
2000000	2713
2100000	2847
2200000	2979
2300000	3124
2400000	3257
2500000	3411
2600000	3547
2700000	3681
2800000	3814
2900000	3960
3000000	4081
3100000	4199
3200000	4338
3300000	4480
3400000	4605
3500000	4735
3600000	4864
3700000	5003
3800000	5149
3900000	5277
4000000	5419
4100000	5568
4200000	5697
4300000	5854
4400000	5995
4500000	6139
4600000	6272
4700000	6411
4800000	6545
4900000	6690
5000000	6833
5100000	6975
5200000	7116
5300000	7264
5400000	7410
5500000	7536
5600000	7682
5700000	7816
5800000	7936
5900000	8082
6000000	8223
6100000	8348
6200000	8464
6300000	8625
6400000	8775
6500000	8901
6600000	9024
6700000	9157
6800000	9284
6900000	9408
7000000	9551
7100000	9677
7200000	9826
7300000	9983
7400000	10109
7500000	10232
7600000	10365
7700000	10505
7800000	10641
7900000	10782
8000000	10921
8100000	11061
8200000	11213
8300000	11370
8400000	11498
8500000	11617
8600000	11759
8700000	11907
8800000	12034
8900000	12165
9000000	12305
9100000	12442
9200000	12568
9300000	12718
9400000	12846
9500000	12989
9600000	13120
9700000	13271
9800000	13416
9900000	13566
