queries	accesses	fps	rfps	tps	negatives	fns	tns
0	0	0	0	0	1	0	1
100000	212	12	0	200	99789	0	99789
200000	459	18	0	441	199542	0	199542
300000	694	24	0	670	299307	0	299307
400000	954	26	0	928	399047	0	399047
500000	1173	32	0	1141	498828	0	498828
600000	1429	37	0	1392	598572	0	598572
700000	1644	41	0	1603	698357	0	698357
800000	1847	43	0	1804	798154	0	798154
900000	2080	46	0	2034	897921	0	897921
1000000	2312	47	0	2265	997689	0	997689
1100000	2555	51	0	2504	1097446	0	1097446
1200000	2797	54	0	2743	1197204	0	1197204
1300000	3018	59	0	2959	1296983	0	1296983
1400000	3247	62	0	3185	1396754	0	1396754
1500000	3462	63	0	3399	1496539	0	1496539
1600000	3705	66	0	3639	1596296	0	1596296
1700000	3935	70	0	3865	1696066	0	1696066
1800000	4152	71	0	4081	1795849	0	1795849
1900000	4397	74	0	4323	1895604	0	1895604
2000000	4628	75	0	4553	1995373	0	1995373
2100000	4890	77	0	4813	2095111	0	2095111
2200000	5102	80	0	5022	2194899	0	2194899
2300000	5314	84	0	5230	2294687	0	2294687
2400000	5526	86	0	5440	2394475	0	2394475
2500000	5791	93	0	5698	2494210	0	2494210
2600000	6017	94	0	5923	2593984	0	2593984
2700000	6257	97	0	6160	2693744	0	2693744
2800000	6472	101	0	6371	2793529	0	2793529
2900000	6729	102	0	6627	2893272	0	2893272
3000000	6948	102	0	6846	2993053	0	2993053
3100000	7148	102	0	7046	3092853	0	3092853
3200000	7361	102	0	7259	3192640	0	3192640
3300000	7606	105	0	7501	3292395	0	3292395
3400000	7811	107	0	7704	3392190	0	3392190
3500000	8041	108	0	7933	3491960	0	3491960
3600000	8296	110	0	8186	3591705	0	3591705
3700000	8523	113	0	8410	3691478	0	3691478
3800000	8775	116	0	8659	3791226	0	3791226
3900000	9003	119	0	8884	3890998	0	3890998
4000000	9237	125	0	9112	3990764	0	3990764
4100000	9475	128	0	9347	4090526	0	4090526
4200000	9730	128	0	9602	4190271	0	4190271
4300000	9967	131	0	9836	4290034	0	4290034
4400000	10201	131	0	10070	4389800	0	4389800
4500000	10427	133	0	10294	4489574	0	4489574
4600000	10652	136	0	10516	4589349	0	4589349
4700000	10888	138	0	10750	4689113	0	4689113
4800000	11130	143	0	10987	4788871	0	4788871
4900000	11374	145	0	11229	4888627	0	4888627
5000000	11615	148	0	11467	4988386	0	4988386
5100000	11858	149	0	11709	5088143	0	5088143
5200000	12094	151	0	11943	5187907	0	5187907
5300000	12338	153	0	12185	5287663	0	5287663
5400000	12562	156	0	12406	5387439	0	5387439
5500000	12807	159	0	12648	5487194	0	5487194
5600000	13023	159	0	12864	5586978	0	5586978
5700000	13259	160	0	13099	5686742	0	5686742
5800000	13501	160	0	13341	5786500	0	5786500
5900000	13718	160	0	13558	5886283	0	5886283
6000000	13967	160	0	13807	5986034	0	5986034
6100000	14201	162	0	14039	6085800	0	6085800
6200000	14413	163	0	14250	6185588	0	6185588
6300000	14655	164	0	14491	6285346	0	6285346
6400000	14899	164	0	14735	6385102	0	6385102
6500000	15107	166	0	14941	6484894	0	6484894
6600000	15340	173	0	15167	6584661	0	6584661
6700000	15553	175	0	15378	6684448	0	6684448
6800000	15800	175	0	15625	6784201	0	6784201
6900000	16029	175	0	15854	6883972	0	6883972
7000000	16260	175	0	16085	6983741	0	6983741
7100000	16470	177	0	16293	7083531	0	7083531
7200000	16718	178	0	16540	7183283	0	7183283
7300000	16929	181	0	16748	7283072	0	7283072
7400000	17153	184	0	16969	7382848	0	7382848
7500000	17355	186	0	17169	7482646	0	7482646
7600000	17613	186	0	17427	7582388	0	7582388
7700000	17839	189	0	17650	7682162	0	7682162
7800000	18076	197	0	17879	7781925	0	7781925
7900000	18270	201	0	18069	7881731	0	7881731
8000000	18496	201	0	18295	7981505	0	7981505
8100000	18697	201	0	18496	8081304	0	8081304
8200000	18958	202	0	18756	8181043	0	8181043
8300000	19191	203	0	18988	8280810	0	8280810
8400000	19417	203	0	19214	8380584	0	8380584
8500000	19635	203	0	19432	8480366	0	8480366
8600000	19869	205	0	19664	8580132	0	8580132
8700000	20077	207	0	19870	8679924	0	8679924
8800000	20300	208	0	20092	8779701	0	8779701
8900000	20514	208	0	20306	8879487	0	8879487
9000000	20727	209	0	20518	8979274	0	8979274
9100000	20945	209	0	20736	9079056	0	9079056
9200000	21162	211	0	20951	9178839	0	9178839
9300000	21400	216	0	21184	9278601	0	9278601
9400000	21640	217	0	21423	9378361	0	9378361
9500000	21903	219	0	21684	9478098	0	9478098
9600000	22094	219	0	21875	9577907	0	9577907
9700000	22322	223	0	22099	9677679	0	9677679
9800000	22563	224	0	22339	9777438	0	9777438
9900000	22791	227	0	22564	9877210	0	9877210
